# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60393.800000,764579520.033951,-405642.933864,2628.225257,12605.256792,-0.011097,-0.855020,-0.464525
60393.820000,764581248.023268,-405658.501738,1150.736280,11802.448977,-0.006921,-0.855045,-0.464656
60393.840000,764582976.035356,-405666.852910,-326.802997,10999.412124,-0.002744,-0.855055,-0.464777
60393.860000,764584704.027067,-405667.986190,-1804.328918,10196.180808,0.001432,-0.855050,-0.464891
60393.880000,764586431.978200,-405661.901103,-3281.797444,9392.778963,0.005610,-0.855029,-0.464997
60393.900000,764588160.022036,-405648.596122,-4759.295764,8589.159151,0.009789,-0.854992,-0.465093
60393.920000,764589887.982349,-405628.071921,-6236.646420,7785.417871,0.013967,-0.854941,-0.465182
60393.940000,764591615.961967,-405600.327182,-7713.910545,6981.521856,0.018145,-0.854874,-0.465262
60393.960000,764593344.017257,-405565.360014,-9191.109533,6177.459427,0.022325,-0.854790,-0.465334
60393.980000,764595071.993342,-405523.173319,-10668.084193,5373.317216,0.026503,-0.854692,-0.465398
60394.000000,764596799.990914,-405473.764816,-12144.893800,4569.062936,0.030683,-0.854578,-0.465452
60394.020000,764598527.977612,-405417.135354,-13621.483894,3764.726226,0.034862,-0.854449,-0.465499
60394.040000,764600255.957532,-405353.284962,-15097.831171,2960.319761,0.039040,-0.854303,-0.465536
60394.060000,764601983.991444,-405282.211284,-16573.960732,2155.829834,0.043219,-0.854144,-0.465566
60394.080000,764603712.008011,-405203.917368,-18049.784816,1351.304246,0.047398,-0.853967,-0.465587
60394.100000,764605439.990460,-405118.404675,-19525.262294,546.765403,0.051576,-0.853776,-0.465599
60394.120000,764607167.997151,-405025.670927,-21000.416179,-257.799263,0.055754,-0.853569,-0.465604
60394.140000,764608896.031921,-404925.716257,-22475.222916,-1062.376939,0.059932,-0.853346,-0.465600
60394.160000,764610624.032142,-404818.545096,-23949.602232,-1866.923853,0.064109,-0.853108,-0.465587
60394.180000,764612352.015316,-404704.157556,-25423.542250,-2671.433542,0.068285,-0.852855,-0.465566
60394.200000,764614079.967839,-404582.555865,-26897.004567,-3475.885058,0.072462,-0.852586,-0.465536
60394.220000,764615807.987242,-404453.734019,-28370.045505,-4280.309184,0.076636,-0.852301,-0.465498
60394.240000,764617535.988727,-404317.699286,-29842.565933,-5084.651818,0.080811,-0.852001,-0.465451
60394.260000,764619264.025440,-404174.448720,-31314.584309,-5888.923071,0.084985,-0.851685,-0.465397
60394.280000,764620991.966297,-404023.995033,-32785.962168,-6693.047308,0.089157,-0.851354,-0.465333
60394.300000,764622720.047555,-403866.318962,-34256.873843,-7497.119834,0.093329,-0.851008,-0.465261
60394.320000,764624448.027957,-403701.443970,-35727.087137,-8301.013754,0.097500,-0.850645,-0.465181
60394.340000,764626175.961021,-403529.367699,-37196.620839,-9104.739346,0.101670,-0.850268,-0.465092
60394.360000,764627903.995851,-403350.076886,-38665.574908,-9908.351314,0.105839,-0.849874,-0.464994
60394.380000,764629631.990254,-403163.587964,-40133.801614,-10711.768880,0.110006,-0.849465,-0.464888
60394.400000,764631360.004319,-402969.896739,-41601.325209,-11515.005342,0.114172,-0.849041,-0.464774
60394.420000,764633088.027482,-402769.006478,-43068.109888,-12318.041134,0.118337,-0.848601,-0.464651
60394.440000,764634815.997072,-402560.927181,-44534.075676,-13120.832492,0.122500,-0.848146,-0.464520
60394.460000,764636543.992344,-402345.651977,-45999.263023,-13923.401595,0.126662,-0.847674,-0.464381
60394.480000,764638271.982892,-402123.187151,-47463.619327,-14725.719664,0.130822,-0.847189,-0.464233
60394.500000,764640000.032005,-401893.526978,-48927.171385,-15527.801420,0.134981,-0.846687,-0.464076
60394.520000,764641728.011082,-401656.691508,-50389.783494,-16329.572519,0.139137,-0.846169,-0.463910
60394.540000,764643455.986579,-401412.675033,-51851.485169,-17131.049165,0.143293,-0.845637,-0.463736
60394.560000,764645184.013866,-401161.472575,-53312.296428,-17932.242370,0.147446,-0.845088,-0.463555
60394.580000,764646911.973481,-400903.104806,-54772.089514,-18733.082095,0.151598,-0.844524,-0.463364
60394.600000,764648639.994654,-400637.555772,-56230.946837,-19533.613583,0.155747,-0.843945,-0.463165
60394.620000,764650368.030600,-400364.835651,-57688.802064,-20333.800479,0.159894,-0.843350,-0.462957
60394.640000,764652095.965449,-400084.966837,-59145.530759,-21133.574503,0.164040,-0.842740,-0.462741
60394.660000,764653824.043080,-399797.913250,-60601.311731,-21933.033866,0.168183,-0.842114,-0.462516
60394.680000,764655552.006338,-399503.721241,-62055.901574,-22732.044937,0.172324,-0.841473,-0.462283
60394.700000,764657280.011080,-399202.368662,-63509.404818,-23530.665157,0.176462,-0.840816,-0.462042
60394.720000,764659007.992632,-398893.870704,-64961.740316,-24328.849979,0.180599,-0.840143,-0.461792
60394.740000,764660736.030259,-398578.217175,-66412.947931,-25126.621354,0.184732,-0.839455,-0.461533
60394.760000,764662464.016005,-398255.432047,-67862.910289,-25923.914793,0.188864,-0.838752,-0.461266
60394.780000,764664191.963469,-397925.517729,-69311.612188,-26720.721957,0.192992,-0.838035,-0.460991
60394.800000,764665920.035066,-397588.447194,-70759.163011,-27517.103061,0.197119,-0.837300,-0.460707
60394.820000,764667648.014912,-397244.266976,-72205.355199,-28312.943961,0.201242,-0.836551,-0.460414
60394.840000,764669376.011092,-396892.960753,-73650.252619,-29108.279823,0.205362,-0.835786,-0.460113
