# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60390.960000,764334144.015995,-327544.126667,199148.339638,110312.670469,-0.503102,-0.260551,-0.115277
60390.980000,764335871.996094,-328467.134487,198695.652393,110190.837790,-0.566738,-0.265110,-0.024924
60391.000000,764337599.971284,-329508.950283,198225.302904,110229.890663,-0.641191,-0.281599,0.071268
60391.020000,764339327.998166,-330691.796766,197712.726654,110441.745429,-0.730839,-0.315104,0.175459
60391.040000,764341056.016090,-332047.526923,197120.999051,110842.234331,-0.842810,-0.375479,0.289954
60391.060000,764342784.017012,-333624.301892,196388.114278,111450.476809,-0.989352,-0.483474,0.415769
60391.080000,764344511.990089,-335498.677110,195395.624900,112281.530441,-1.191810,-0.688547,0.544432
60391.100000,764346239.986465,-337791.095764,193879.161955,113298.879135,-1.474862,-1.125298,0.606430
60391.120000,764347968.033413,-340561.775758,191212.709274,114103.302920,-1.652876,-2.040158,0.153530
60391.140000,764349695.952869,-342866.739761,187217.866041,113244.506406,-0.884207,-2.274154,-1.090695
60391.160000,764351423.997846,-343808.727515,183874.885872,111002.077909,-0.310510,-1.611160,-1.371848
60391.180000,764353152.039174,-344164.683043,181497.143304,108698.355949,-0.135925,-1.180261,-1.276948
60391.200000,764354880.007581,-344347.059266,179697.136219,106608.149872,-0.086327,-0.923126,-1.142215
60391.220000,764356607.964642,-344487.406645,178256.354733,104745.903686,-0.080554,-0.755183,-1.015289
60391.240000,764358335.970551,-344635.972582,177058.897586,103092.134320,-0.093493,-0.637089,-0.900752
60391.260000,764360063.945084,-344815.867483,176037.058216,101626.858985,-0.115880,-0.549700,-0.796730
60391.280000,764361791.984988,-345039.651521,175147.400980,100334.036419,-0.143879,-0.482809,-0.700692
60391.300000,764363520.002137,-345315.390142,174360.035931,99201.909004,-0.175848,-0.430584,-0.610427
60391.320000,764365247.964517,-345649.301799,173652.904746,98222.147032,-0.211174,-0.389525,-0.524101
60391.340000,764366975.976592,-346047.102981,173008.650465,97389.264234,-0.249810,-0.357520,-0.440155
60391.360000,764368703.987949,-346514.742424,172412.798511,96700.385462,-0.292088,-0.333366,-0.357211
