# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60390.660000,764308293.182633,-317304.687725,217012.474549,126685.759055,-0.617104,-0.666307,-0.344984
60390.680000,764310021.182632,-318368.194334,215859.114743,126088.470332,-0.613805,-0.668598,-0.346322
60390.700000,764311749.182632,-319425.991817,214701.805925,125488.875222,-0.610496,-0.670877,-0.347653
60390.720000,764313477.182632,-320478.062293,213540.569999,124886.985129,-0.607176,-0.673144,-0.348978
60390.740000,764315205.182632,-321524.387884,212375.428869,124282.811454,-0.603847,-0.675397,-0.350296
60390.760000,764316933.182631,-322564.950733,211206.404451,123676.365607,-0.600507,-0.677638,-0.351607
60390.780000,764318661.182631,-323599.733520,210033.518941,123067.659164,-0.597158,-0.679866,-0.352912
60390.800000,764320389.182631,-324628.719467,208856.794812,122456.703870,-0.593798,-0.682080,-0.354210
60390.820000,764322117.182631,-325651.891814,207676.254552,121843.511474,-0.590429,-0.684282,-0.355501
60390.840000,764323845.182630,-326669.233805,206491.920645,121228.093729,-0.587050,-0.686471,-0.356786
60390.860000,764325573.182630,-327680.728683,205303.815578,120610.462384,-0.583661,-0.688648,-0.358064
60390.880000,764327301.182630,-328686.359690,204111.961838,119990.629191,-0.580262,-0.690811,-0.359335
60390.900000,764329029.182629,-329686.110069,202916.381909,119368.605901,-0.576854,-0.692961,-0.360599
60390.920000,764330757.182629,-330679.963062,201717.098280,118744.404264,-0.573436,-0.695098,-0.361856
60390.940000,764332485.182629,-331667.901913,200514.133434,118118.036032,-0.570008,-0.697222,-0.363107
60390.960000,764334213.182629,-332649.909864,199307.509859,117489.512955,-0.566571,-0.699332,-0.364350
60390.980000,764335941.182628,-333625.970158,198097.250041,116858.846784,-0.563125,-0.701430,-0.365587
60391.000000,764337669.182628,-334596.066037,196883.376465,116226.049271,-0.559669,-0.703515,-0.366817
60391.020000,764339397.182628,-335560.180953,195665.911720,115591.132226,-0.556204,-0.705586,-0.368040
60391.040000,764341125.182627,-336518.299188,194444.878797,114954.107707,-0.552729,-0.707644,-0.369256
60391.060000,764342853.182627,-337470.405236,193220.300789,114314.987829,-0.549246,-0.709689,-0.370465
60391.080000,764344581.182627,-338416.483589,191992.200789,113673.784709,-0.545753,-0.711720,-0.371667
60391.100000,764346309.182626,-339356.518737,190760.601892,113030.510465,-0.542251,-0.713739,-0.372862
