# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60392.140000,764436165.182612,63565.248740,-0.000233,0.001043
60392.160000,764437893.182612,63771.223975,-0.000249,0.000998
60392.180000,764439621.182612,63976.612531,-0.000264,0.000954
60392.200000,764441349.182611,64181.400282,-0.000277,0.000911
60392.220000,764443077.182611,64385.573100,-0.000289,0.000870
60392.240000,764444805.182611,64589.116860,-0.000299,0.000830
60392.260000,764446533.182610,64792.017509,-0.000307,0.000792
60392.280000,764448261.182610,64994.262723,-0.000313,0.000756
60392.300000,764449989.182610,65195.841905,-0.000318,0.000722
60392.320000,764451717.182610,65396.744533,-0.000322,0.000689
60392.340000,764453445.182609,65596.960085,-0.000324,0.000658
60392.360000,764455173.182609,65796.478040,-0.000324,0.000628
60392.380000,764456901.182609,65995.287876,-0.000324,0.000600
60392.400000,764458629.182609,66193.379070,-0.000323,0.000573
60392.420000,764460357.182608,66390.741102,-0.000320,0.000547
60392.440000,764462085.182608,66587.363449,-0.000317,0.000522
60392.460000,764463813.182608,66783.235590,-0.000313,0.000499
60392.480000,764465541.182608,66978.347003,-0.000309,0.000476
60392.500000,764467269.182607,67172.687165,-0.000304,0.000454
60392.520000,764468997.182607,67366.246028,-0.000299,0.000432
60392.540000,764470725.182607,67559.015435,-0.000294,0.000411
60392.560000,764472453.182606,67750.987699,-0.000289,0.000391
60392.580000,764474181.182606,67942.155136,-0.000283,0.000372
60392.600000,764475909.182606,68132.510060,-0.000277,0.000353
60392.620000,764477637.182606,68322.044787,-0.000270,0.000335
60392.640000,764479365.182605,68510.751631,-0.000264,0.000317
60392.660000,764481093.182605,68698.622906,-0.000257,0.000300
60392.680000,764482821.182605,68885.650929,-0.000250,0.000283
60392.700000,764484549.182605,69071.828013,-0.000242,0.000267
60392.720000,764486277.182604,69257.146474,-0.000234,0.000252
60392.740000,764488005.182604,69441.598626,-0.000226,0.000236
60392.760000,764489733.182604,69625.176830,-0.000218,0.000222
60392.780000,764491461.182603,69807.874515,-0.000209,0.000208
60392.800000,764493189.182603,69989.686176,-0.000200,0.000194
60392.820000,764494917.182603,70170.606352,-0.000191,0.000181
60392.840000,764496645.182603,70350.629586,-0.000181,0.000168
60392.860000,764498373.182602,70529.750419,-0.000172,0.000156
60392.880000,764500101.182602,70707.963392,-0.000163,0.000145
60392.900000,764501829.182602,70885.263046,-0.000153,0.000134
60392.920000,764503557.182601,71061.643922,-0.000144,0.000123
60392.940000,764505285.182601,71237.100561,-0.000135,0.000113
60392.960000,764507013.182601,71411.627504,-0.000126,0.000104
