# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60390.760000,764316933.182631,149008586.146781,3073369.820333,1331696.022307,-0.192003,27.419041,11.885092
60390.780000,764318661.182631,149008245.483595,3120749.715337,1352233.367314,-0.202283,27.418800,11.884983
60390.800000,764320389.182631,149007887.058168,3168129.190662,1372770.523398,-0.212562,27.418555,11.884873
60390.820000,764322117.182631,149007510.871055,3215508.240914,1393307.488247,-0.222840,27.418308,11.884762
60390.840000,764323845.182630,149007116.922812,3262886.860703,1413844.259546,-0.233118,27.418057,11.884649
60390.860000,764325573.182630,149006705.213993,3310265.044639,1434380.834985,-0.243396,27.417803,11.884535
60390.880000,764327301.182630,149006275.745155,3357642.787329,1454917.212249,-0.253674,27.417546,11.884420
60390.900000,764329029.182629,149005828.516853,3405020.083382,1475453.389027,-0.263951,27.417286,11.884303
60390.920000,764330757.182629,149005363.529642,3452396.927409,1495989.363007,-0.274228,27.417023,11.884185
60390.940000,764332485.182629,149004880.784078,3499773.314016,1516525.131874,-0.284505,27.416757,11.884066
60390.960000,764334213.182629,149004380.280717,3547149.237814,1537060.693317,-0.294781,27.416488,11.883945
60390.980000,764335941.182628,149003862.020113,3594524.693411,1557596.045023,-0.305057,27.416215,11.883823
60391.000000,764337669.182628,149003326.002823,3641899.675415,1578131.184679,-0.315333,27.415939,11.883700
60391.020000,764339397.182628,149002772.229404,3689274.178438,1598666.109974,-0.325608,27.415661,11.883575
60391.040000,764341125.182627,149002200.700421,3736648.197097,1619200.818599,-0.335883,27.415379,11.883449
60391.060000,764342853.182627,149001611.416442,3784021.726012,1639735.308249,-0.346158,27.415094,11.883321
60391.080000,764344581.182627,149001004.378035,3831394.759801,1660269.576615,-0.356433,27.414806,11.883193
60391.100000,764346309.182626,149000379.585767,3878767.293085,1680803.621392,-0.366707,27.414515,11.883063
60391.120000,764348037.182626,148999737.040207,3926139.320482,1701337.440273,-0.376980,27.414220,11.882931
60391.140000,764349765.182626,148999076.741921,3973510.836611,1721871.030949,-0.387254,27.413923,11.882798
60391.160000,764351493.182626,148998398.691477,4020881.836093,1742404.391116,-0.397527,27.413622,11.882664
60391.180000,764353221.182626,148997702.889444,4068252.313546,1762937.518465,-0.407800,27.413319,11.882529
60391.200000,764354949.182625,148996989.336388,4115622.263590,1783470.410690,-0.418072,27.413012,11.882392
60391.220000,764356677.182625,148996258.032877,4162991.680844,1804003.065484,-0.428344,27.412702,11.882254
60391.240000,764358405.182625,148995508.979480,4210360.559927,1824535.480541,-0.438616,27.412389,11.882115
60391.260000,764360133.182624,148994742.176763,4257728.895460,1845067.653553,-0.448887,27.412073,11.881974
60391.280000,764361861.182624,148993957.625300,4305096.682066,1865599.582216,-0.459158,27.411754,11.881832
60391.300000,764363589.182624,148993155.325671,4352463.914374,1886131.264229,-0.469429,27.411431,11.881689
60391.320000,764365317.182624,148992335.278453,4399830.587013,1906662.697291,-0.479700,27.411106,11.881544
60391.340000,764367045.182623,148991497.484228,4447196.694613,1927193.879099,-0.489970,27.410777,11.881398
60391.360000,764368773.182623,148990641.943573,4494562.231803,1947724.807353,-0.500239,27.410446,11.881250
60391.380000,764370501.182623,148989768.657068,4541927.193211,1968255.479752,-0.510509,27.410111,11.881102
60391.400000,764372229.182622,148988877.625293,4589291.573468,1988785.893992,-0.520778,27.409773,11.880952
60391.420000,764373957.182622,148987968.848826,4636655.367201,2009316.047775,-0.531047,27.409432,11.880800
60391.440000,764375685.182622,148987042.328246,4684018.569042,2029845.938797,-0.541315,27.409088,11.880647
60391.460000,764377413.182622,148986098.064134,4731381.173617,2050375.564757,-0.551583,27.408741,11.880493
60391.480000,764379141.182621,148985136.057067,4778743.175558,2070904.923354,-0.561851,27.408391,11.880338
60391.500000,764380869.182621,148984156.307625,4826104.569492,2091434.012287,-0.572118,27.408037,11.880181
60391.520000,764382597.182621,148983158.816390,4873465.350051,2111962.829255,-0.582385,27.407681,11.880023
60391.540000,764384325.182621,148982143.583950,4920825.511872,2132491.371961,-0.592652,27.407321,11.879864
60391.560000,764386053.182620,148981110.610896,4968185.049593,2153019.638109,-0.602918,27.406958,11.879703
60391.580000,764387781.182620,148980059.897818,5015543.957853,2173547.625402,-0.613185,27.406592,11.879541
60391.600000,764389509.182620,148978991.445306,5062902.231292,2194075.331545,-0.623450,27.406224,11.879378
60391.620000,764391237.182619,148977905.253952,5110259.864546,2214602.754241,-0.633716,27.405851,11.879213
60391.640000,764392965.182619,148976801.324345,5157616.852256,2235129.891195,-0.643981,27.405476,11.879047
60391.660000,764394693.182619,148975679.657077,5204973.189060,2255656.740109,-0.654245,27.405098,11.878880
60391.680000,764396421.182619,148974540.252738,5252328.869596,2276183.298688,-0.664510,27.404717,11.878711
60391.700000,764398149.182618,148973383.111919,5299683.888503,2296709.564635,-0.674774,27.404332,11.878541
60391.720000,764399877.182618,148972208.235209,5347038.240421,2317235.535656,-0.685037,27.403945,11.878370
60391.740000,764401605.182618,148971015.623201,5394391.919987,2337761.209452,-0.695301,27.403554,11.878197
60391.760000,764403333.182617,148969805.276483,5441744.921841,2358286.583729,-0.705564,27.403160,11.878023
60391.780000,764405061.182617,148968577.195654,5489097.240625,2378811.656192,-0.715826,27.402764,11.877848
60391.800000,764406789.182617,148967331.381313,5536448.870987,2399336.424550,-0.726088,27.402364,11.877671
60391.820000,764408517.182617,148966067.834063,5583799.807576,2419860.886513,-0.736350,27.401961,11.877493
60391.840000,764410245.182616,148964786.554505,5631150.045039,2440385.039789,-0.746612,27.401554,11.877314
60391.860000,764411973.182616,148963487.543241,5678499.578023,2460908.882086,-0.756873,27.401145,11.877133
60391.880000,764413701.182616,148962170.800872,5725848.401177,2481432.411115,-0.767134,27.400733,11.876951
60391.900000,764415429.182616,148960836.328001,5773196.509148,2501955.624583,-0.777395,27.400317,11.876768
60391.920000,764417157.182615,148959484.125228,5820543.896585,2522478.520199,-0.787655,27.399899,11.876583
60391.940000,764418885.182615,148958114.193156,5867890.558134,2543001.095673,-0.797915,27.399477,11.876397
60391.960000,764420613.182615,148956726.532385,5915236.488443,2563523.348713,-0.808174,27.399053,11.876210
60391.980000,764422341.182615,148955321.143518,5962581.682162,2584045.277028,-0.818433,27.398625,11.876022
60392.000000,764424069.182614,148953898.027156,6009926.133936,2604566.878327,-0.828692,27.398194,11.875832
60392.020000,764425797.182614,148952457.183903,6057269.838416,2625088.150319,-0.838951,27.397760,11.875640
60392.040000,764427525.182614,148950998.614369,6104612.790257,2645609.090718,-0.849209,27.397323,11.875448
