# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60390.920000,764330757.182629,149425579.274416,19.348809,0.006066
60390.940000,764332485.182629,149427589.543424,19.161038,0.005920
60390.960000,764334213.182629,149429590.560530,18.991745,0.005759
60390.980000,764335941.182628,149431582.349041,18.841062,0.005582
60391.000000,764337669.182628,149433564.932264,18.709124,0.005384
60391.020000,764339397.182628,149435538.334625,18.595967,0.005164
60391.040000,764341125.182627,149437502.585035,18.501244,0.004924
60391.060000,764342853.182627,149439457.713522,18.424514,0.004665
60391.080000,764344581.182627,149441403.750115,18.365333,0.004392
60391.100000,764346309.182626,149443340.724845,18.323259,0.004105
60391.120000,764348037.182626,149445268.667742,18.297850,0.003808
60391.140000,764349765.182626,149447187.608833,18.288664,0.003504
60391.160000,764351493.182626,149449097.578149,18.295257,0.003194
60391.180000,764353221.182626,149450998.605720,18.317187,0.002881
60391.200000,764354949.182625,149452890.721574,18.354012,0.002568
60391.220000,764356677.182625,149454773.955742,18.405290,0.002257
60391.240000,764358405.182625,149456648.338252,18.470577,0.001951
60391.260000,764360133.182624,149458513.899162,18.549429,0.001652
60391.280000,764361861.182624,149460370.669141,18.641329,0.001361
60391.300000,764363589.182624,149462218.679474,18.745695,0.001080
60391.320000,764365317.182624,149464057.961475,18.861937,0.000810
60391.340000,764367045.182623,149465888.546454,18.989468,0.000550
60391.360000,764368773.182623,149467710.465723,19.127700,0.000301
60391.380000,764370501.182623,149469523.750594,19.276046,0.000064
60391.400000,764372229.182622,149471328.432380,19.433918,-0.000160
60391.420000,764373957.182622,149473124.542391,19.600727,-0.000371
60391.440000,764375685.182622,149474912.111940,19.775887,-0.000568
60391.460000,764377413.182622,149476691.172338,19.958810,-0.000751
60391.480000,764379141.182621,149478461.754897,20.148907,-0.000919
60391.500000,764380869.182621,149480223.890930,20.345592,-0.001071
60391.520000,764382597.182621,149481977.611571,20.548317,-0.001207
60391.540000,764384325.182621,149483722.947243,20.756702,-0.001328
60391.560000,764386053.182620,149485459.928196,20.970407,-0.001435
60391.580000,764387781.182620,149487188.584675,21.189094,-0.001530
60391.600000,764389509.182620,149488908.946928,21.412421,-0.001614
60391.620000,764391237.182619,149490621.045203,21.640051,-0.001689
60391.640000,764392965.182619,149492324.909747,21.871643,-0.001755
60391.660000,764394693.182619,149494020.570806,22.106859,-0.001815
60391.680000,764396421.182619,149495708.058629,22.345357,-0.001869
60391.700000,764398149.182618,149497387.403463,22.586800,-0.001919
60391.720000,764399877.182618,149499058.635555,22.830848,-0.001966
60391.740000,764401605.182618,149500721.785152,23.077160,-0.002011
60391.760000,764403333.182617,149502376.882453,23.325402,-0.002056
60391.780000,764405061.182617,149504023.956549,23.575322,-0.002102
60391.800000,764406789.182617,149505663.035421,23.826754,-0.002148
60391.820000,764408517.182617,149507294.147002,24.079535,-0.002194
60391.840000,764410245.182616,149508917.319225,24.333502,-0.002240
60391.860000,764411973.182616,149510532.580024,24.588492,-0.002285
60391.880000,764413701.182616,149512139.957331,24.844343,-0.002330
60391.900000,764415429.182616,149513739.479080,25.100891,-0.002375
60391.920000,764417157.182615,149515331.173205,25.357975,-0.002418
60391.940000,764418885.182615,149516915.067637,25.615431,-0.002461
