# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60391.040000,764341125.182627,-385393.706386,177735.062280,119883.182149,-0.671728,-0.817737,-0.671212
60391.060000,764342853.182627,-386549.227730,176321.631156,118722.251421,-0.665687,-0.818184,-0.672475
60391.080000,764344581.182627,-387694.321938,174907.439020,117559.176450,-0.659662,-0.818619,-0.673693
60391.100000,764346309.182626,-388829.018924,173492.504895,116394.030148,-0.653654,-0.819042,-0.674867
60391.120000,764348037.182626,-389953.348601,172076.847804,115226.885425,-0.647662,-0.819453,-0.675998
60391.140000,764349765.182626,-391067.340882,170660.486771,114057.815192,-0.641688,-0.819854,-0.677086
60391.160000,764351493.182626,-392171.025681,169243.440820,112886.892360,-0.635731,-0.820243,-0.678133
60391.180000,764353221.182626,-393264.432910,167825.728975,111714.189839,-0.629791,-0.820622,-0.679138
60391.200000,764354949.182625,-394347.592482,166407.370259,110539.780542,-0.623868,-0.820990,-0.680103
60391.220000,764356677.182625,-395420.534312,164988.383696,109363.737377,-0.617963,-0.821348,-0.681029
60391.240000,764358405.182625,-396483.288311,163568.788310,108186.133257,-0.612076,-0.821696,-0.681916
60391.260000,764360133.182624,-397535.884429,162148.603034,107007.040786,-0.606207,-0.822034,-0.682765
60391.280000,764361861.182624,-398578.353409,160727.844734,105826.525530,-0.600356,-0.822363,-0.683577
60391.300000,764363589.182624,-399610.726797,159306.528204,104644.646012,-0.594524,-0.822682,-0.684351
60391.320000,764365317.182624,-400633.036169,157884.668151,103461.460454,-0.588709,-0.822993,-0.685090
60391.340000,764367045.182623,-401645.313104,156462.279279,102277.027073,-0.582913,-0.823294,-0.685793
60391.360000,764368773.182623,-402647.589179,155039.376295,101091.404090,-0.577134,-0.823587,-0.686462
60391.380000,764370501.182623,-403639.895974,153615.973904,99904.649723,-0.571374,-0.823870,-0.687096
60391.400000,764372229.182622,-404622.265064,152192.086811,98716.822191,-0.565632,-0.824146,-0.687696
60391.420000,764373957.182622,-405594.728030,150767.729722,97527.979715,-0.559908,-0.824413,-0.688263
60391.440000,764375685.182622,-406557.316448,149342.917343,96338.180513,-0.554203,-0.824671,-0.688798
60391.460000,764377413.182622,-407510.061897,147917.664379,95147.482804,-0.548515,-0.824922,-0.689301
60391.480000,764379141.182621,-408452.995954,146491.985536,93955.944808,-0.542846,-0.825164,-0.689772
60391.500000,764380869.182621,-409386.150197,145065.895519,92763.624743,-0.537195,-0.825399,-0.690214
60391.520000,764382597.182621,-410309.556079,143639.408626,91570.578872,-0.531562,-0.825626,-0.690625
60391.540000,764384325.182621,-411223.244543,142212.537518,90376.855626,-0.525948,-0.825845,-0.691006
60391.560000,764386053.182620,-412127.246407,140785.294450,89182.501476,-0.520351,-0.826057,-0.691359
60391.580000,764387781.182620,-413021.592489,139357.691676,87987.562895,-0.514773,-0.826262,-0.691682
60391.600000,764389509.182620,-413906.313607,137929.741449,86792.086358,-0.509212,-0.826459,-0.691978
60391.620000,764391237.182619,-414781.440579,136501.456023,85596.118336,-0.503669,-0.826649,-0.692246
60391.640000,764392965.182619,-415647.004222,135072.847652,84399.705302,-0.498145,-0.826832,-0.692487
60391.660000,764394693.182619,-416503.035355,133643.928591,83202.893729,-0.492637,-0.827008,-0.692702
60391.680000,764396421.182619,-417349.564795,132214.711092,82005.730090,-0.487148,-0.827177,-0.692890
60391.700000,764398149.182618,-418186.623360,130785.207410,80808.260859,-0.481676,-0.827339,-0.693052
60391.720000,764399877.182618,-419014.241869,129355.429799,79610.532507,-0.476221,-0.827493,-0.693189
60391.740000,764401605.182618,-419832.451138,127925.390512,78412.591508,-0.470784,-0.827642,-0.693302
60391.760000,764403333.182617,-420641.281943,126495.101779,77214.484146,-0.465365,-0.827783,-0.693390
60391.780000,764405061.182617,-421440.764072,125064.575265,76016.252386,-0.459962,-0.827918,-0.693454
60391.800000,764406789.182617,-422230.926330,123633.822072,74817.933872,-0.454577,-0.828046,-0.693495
60391.820000,764408517.182617,-423011.797475,122202.853276,73619.566060,-0.449209,-0.828168,-0.693513
60391.840000,764410245.182616,-423783.406268,120771.679954,72421.186405,-0.443857,-0.828283,-0.693508
60391.860000,764411973.182616,-424545.781468,119340.313182,71222.832364,-0.438523,-0.828392,-0.693480
60391.880000,764413701.182616,-425298.951837,117908.764038,70024.541391,-0.433205,-0.828494,-0.693430
