# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60392.980000,764508741.182601,455037.004830,43.295185,6.211328
60393.000000,764510469.182600,455182.105483,43.260347,6.157768
60393.020000,764512197.182600,455326.888529,43.225303,6.101935
60393.040000,764513925.182600,455471.344358,43.190049,6.043880
60393.060000,764515653.182599,455615.463421,43.154583,5.983647
60393.080000,764517381.182599,455759.236173,43.118900,5.921282
60393.100000,764519109.182599,455902.653066,43.082997,5.856831
60393.120000,764520837.182599,456045.704552,43.046871,5.790339
60393.140000,764522565.182598,456188.381086,43.010519,5.721851
60393.160000,764524293.182598,456330.673119,42.973937,5.651413
60393.180000,764526021.182598,456472.571104,42.937122,5.579072
60393.200000,764527749.182598,456614.065495,42.900070,5.504871
60393.220000,764529477.182597,456755.146744,42.862779,5.428856
60393.240000,764531205.182597,456895.805305,42.825244,5.351074
60393.260000,764532933.182597,457036.031639,42.787463,5.271569
60393.280000,764534661.182596,457175.816430,42.749432,5.190379
60393.300000,764536389.182596,457315.150586,42.711149,5.107537
60393.320000,764538117.182596,457454.025020,42.672612,5.023073
60393.340000,764539845.182596,457592.430648,42.633817,4.937018
60393.360000,764541573.182595,457730.358385,42.594763,4.849404
60393.380000,764543301.182595,457867.799148,42.555446,4.760261
60393.400000,764545029.182595,458004.743850,42.515864,4.669621
60393.420000,764546757.182595,458141.183408,42.476014,4.577516
60393.440000,764548485.182594,458277.108736,42.435894,4.483975
60393.460000,764550213.182594,458412.510750,42.395501,4.389032
60393.480000,764551941.182594,458547.380366,42.354833,4.292715
60393.500000,764553669.182593,458681.708498,42.313887,4.195058
60393.520000,764555397.182593,458815.486148,42.272660,4.096089
60393.540000,764557125.182593,458948.704654,42.231150,3.995832
60393.560000,764558853.182593,459081.355442,42.189354,3.894309
60393.580000,764560581.182592,459213.429937,42.147271,3.791542
60393.600000,764562309.182592,459344.919564,42.104897,3.687554
60393.620000,764564037.182592,459475.815747,42.062231,3.582365
60393.640000,764565765.182592,459606.109912,42.019270,3.475999
60393.660000,764567493.182591,459735.793484,41.976011,3.368477
60393.680000,764569221.182591,459864.857887,41.932452,3.259822
60393.700000,764570949.182591,459993.294547,41.888591,3.150055
60393.720000,764572677.182590,460121.094888,41.844426,3.039198
60393.740000,764574405.182590,460248.250335,41.799953,2.927274
60393.760000,764576133.182590,460374.752325,41.755171,2.814304
60393.780000,764577861.182590,460500.592550,41.710077,2.700308
60393.800000,764579589.182589,460625.762958,41.664669,2.585302
60393.820000,764581317.182589,460750.255508,41.618944,2.469302
60393.840000,764583045.182589,460874.062160,41.572901,2.352324
60393.860000,764584773.182588,460997.174874,41.526538,2.234385
60393.880000,764586501.182588,461119.585609,41.479852,2.115501
60393.900000,764588229.182588,461241.286323,41.432841,1.995687
60393.920000,764589957.182588,461362.268978,41.385502,1.874961
60393.940000,764591685.182587,461482.525532,41.337834,1.753338
60393.960000,764593413.182587,461602.047945,41.289834,1.630835
60393.980000,764595141.182587,461720.828175,41.241501,1.507468
60394.000000,764596869.182587,461838.858184,41.192831,1.383253
60394.020000,764598597.182586,461956.130020,41.143823,1.258206
60394.040000,764600325.182586,462072.636098,41.094475,1.132339
60394.060000,764602053.182585,462188.368921,41.044784,1.005665
60394.080000,764603781.182585,462303.320994,40.994748,0.878197
60394.100000,764605509.182585,462417.484822,40.944364,0.749946
60394.120000,764607237.182585,462530.852908,40.893631,0.620925
60394.140000,764608965.182585,462643.417757,40.842547,0.491146
60394.160000,764610693.182584,462755.171873,40.791108,0.360621
60394.180000,764612421.182584,462866.107761,40.739313,0.229364
60394.200000,764614149.182584,462976.217925,40.687160,0.097385
60394.220000,764615877.182583,463085.494868,40.634646,-0.035302
