epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59097.50000,652579269.1826417446136475,-144296218.1379137933254242,40224685.0690416842699051,17437328.3965098671615124,-8.1781297965979132,-26.0382106344857007,-11.2870236959337529
59097.75000,652600869.1826417446136475,-144471569.1778562664985657,39661895.8846831992268562,17193371.5634812787175179,-8.0580474560203310,-26.0718262911345278,-11.3015406611058609
59098.00000,652622469.1826417446136475,-144644324.4880233108997345,39098385.3205839544534683,16949103.1935669854283333,-7.9377845624673862,-26.1050048191260551,-11.3158696233826621
59098.25000,652644069.1826417446136475,-144814480.1760872304439545,38534162.8341064453125000,16704527.3529032077640295,-7.8173418274041007,-26.1377447893284973,-11.3300100918018281
59098.50000,652665669.1826417446136475,-144982032.3654855489730835,37969237.9137824997305870,16459648.1183998566120863,-7.6967199988335135,-26.1700447451221301,-11.3439615599128523
59098.75000,652687269.1826417446136475,-145146977.1961921155452728,37403620.0798892900347710,16214469.5780657380819321,-7.5759198595932267,-26.2019032039629991,-11.3577235066188127
59099.00000,652708869.1826417446136475,-145309310.8254495263099670,36837318.8849963843822479,15968995.8313173465430737,-7.4549422254876854,-26.2333186585178524,-11.3712953968446264
59099.25000,652730469.1826417446136475,-145469029.4284600913524628,36270343.9144928231835365,15723230.9892752673476934,-7.3337879433119948,-26.2642895773492171,-11.3846766820170870
59099.50000,652752069.1826417446136475,-145626129.1990334987640381,35702704.7871046438813210,15477179.1750523503869772,-7.2124578888261990,-26.2948144051339128,-11.3978668003435146
59099.75000,652773669.1826417446136475,-145780606.3501903116703033,35134411.1554127857089043,15230844.5240381453186274,-7.0909529647422156,-26.3248915624028399,-11.4108651768775609
59100.00000,652795269.1826417446136475,-145932457.1147233247756958,34565472.7063817009329796,14984231.1841843128204346,-6.9692740987887811,-26.3545194447943771,-11.4236712233624136
59100.25000,652816869.1826417446136475,-146081677.7457182109355927,33995899.1619096398353577,14737343.3162958845496178,-6.8474222419228177,-26.3836964218186871,-11.4362843378435244
59100.50000,652838469.1826417446136475,-146228264.5170377790927887,33425700.2794106341898441,14490185.0943334493786097,-6.7253983667589576,-26.4124208351354319,-11.4487039040450007
59100.75000,652860069.1826417446136475,-146372213.7237753570079803,32854885.8524390682578087,14242760.7057313714176416,-6.6032034662921468,-26.4406909963532115,-11.4609292905060762
59101.00000,652881669.1826417446136475,-146513521.6826846301555634,32283465.7113666683435440,13995074.3517372924834490,-6.4808385529917585,-26.4685051843655437,-11.4729598494765384
59101.25000,652903269.1826417446136475,-146652184.7325943708419800,31711449.7241219989955425,13747130.2477780748158693,-6.3583046583487350,-26.4958616422450461,-11.4847949155729250
59101.50000,652924869.1826417446136475,-146788199.2348192036151886,31138847.7970013879239559,13498932.6238572821021080,-6.2356028329606996,-26.5227585737262039,-11.4964338042005849
59101.75000,652946469.1826417446136475,-146921561.5735788345336914,30565669.8755600713193417,13250485.7249892447143793,-6.1127341472428176,-26.5491941393158015,-11.5078758097505620
59102.00000,652968069.1826417446136475,-147052268.1564400494098663,29991925.9455908276140690,13001793.8116743564605713,-5.9896996928545727,-26.5751664520811097,-11.5191202035847002
59102.25000,652989669.1826417446136475,-147180315.4147983491420746,29417626.0341966040432453,12752861.1604200191795826,-5.8665005849343617,-26.6006735731777404,-11.5301662318275913
59102.50000,653011269.1826417446136475,-147305699.8044170737266541,28842780.2109618186950684,12503692.0643111579120159,-5.7431379652341015,-26.6257135071927173,-11.5410131129900559
59102.75000,653032869.1826417446136475,-147428417.8060449659824371,28267398.5892254859209061,12254290.8336336109787226,-5.6196130062449230,-26.6502841973936277,-11.5516600354555248
59103.00000,653054469.1826417446136475,-147548465.9261345863342285,27691491.3274569846689701,12004661.7965529579669237,-5.4959269164016522,-26.6743835209914977,-11.5621061548687809
59103.25000,653076069.1826417446136475,-147665840.6976848244667053,27115068.6307329796254635,11754809.2998503576964140,-5.3720809464475261,-26.6980092845430441,-11.5723505914750451
59103.50000,653097669.1826417446136475,-147780538.6812348961830139,26538140.7523106783628464,11504737.7097159028053284,-5.2480763970309452,-26.7211592196384835,-11.5823924274671555
59103.75000,653119269.1826417446136475,-147892556.4660358726978302,25960717.9952898770570755,11254451.4125985987484455,-5.1239146275921987,-26.7438309790403252,-11.5922307044090243
59104.00000,653140869.1826417446136475,-148001890.6714282631874084,25382810.7143517099320889,11003954.8161104321479797,-4.9995970665789455,-26.7660221334604671,-11.6018644208146515
59104.25000,653162469.1826417446136475,-148108537.9484549760818481,24804429.3175583519041538,10753252.3499802872538567,-4.8751252229866413,-26.7877301691862755,-11.6112925299731682
59104.50000,653184069.1826417446136475,-148212494.9817390143871307,24225584.2681929096579552,10502348.4670512005686760,-4.7505006993282475,-26.8089524867638183,-11.6205139381252849
59104.75000,653205669.1826417446136475,-148313758.4916523694992065,23646286.0866138264536858,10251247.6443123817443848,-4.6257252056567468,-26.8296864010190781,-11.6295275030918202
