# epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60390.000000,764251200.000000,-280933.179097,252076.317848,146659.797118,-1.307338,-2.233131,-0.682860,-310537.997569,249423.156518,174937.757214,-0.993172,-0.766409,-0.525173
60390.001000,764251286.400000,-281044.103474,251884.156457,146599.066317,-1.260653,-2.214664,-0.722379,-310623.795033,249356.934948,174892.372382,-0.992881,-0.766498,-0.525401
60390.002149,764251385.693194,-281166.706628,251665.416019,146525.252646,-1.209283,-2.190877,-0.763689,-310722.364692,249280.821785,174840.190577,-0.992546,-0.766601,-0.525664
60390.003606,764251511.593692,-281315.043465,251391.643341,146426.113315,-1.147827,-2.157668,-0.810127,-310847.299951,249184.298121,174773.988373,-0.992121,-0.766731,-0.525996
60390.005545,764251679.129314,-281500.935459,251034.116901,146285.856427,-1.072539,-2.109858,-0.862538,-311013.468170,249055.828801,174685.828425,-0.991555,-0.766904,-0.526437
60390.007926,764251884.843824,-281712.898681,250606.404955,146102.890505,-0.989981,-2.048105,-0.914140,-311217.374009,248898.043629,174577.477122,-0.990860,-0.767116,-0.526977
60390.010879,764252139.951777,-281953.864369,250093.833319,145863.231854,-0.901589,-1.970429,-0.962101,-311470.040343,248702.312724,174442.955579,-0.989998,-0.767378,-0.527647
60390.013925,764252403.079744,-282180.683734,249585.733711,145605.199405,-0.824656,-1.892050,-0.997033,-311730.419266,248500.358603,174304.026319,-0.989107,-0.767647,-0.528335
60390.017638,764252723.954240,-282432.427910,248993.331393,145280.448255,-0.747161,-1.801421,-1.024817,-312047.624083,248253.987615,174134.362482,-0.988020,-0.767974,-0.529173
60390.021825,764253085.666725,-282689.515083,248359.021386,144906.235254,-0.677023,-1.707319,-1.042281,-312404.781250,247976.135283,173942.783593,-0.986792,-0.768341,-0.530115
60390.026737,764253510.103811,-282962.593341,247655.844600,144461.779787,-0.612531,-1.608110,-1.050236,-312823.306589,247649.931839,173717.549561,-0.985350,-0.768769,-0.531215
60390.031819,764253949.151796,-283219.711034,246970.153372,144000.613648,-0.560904,-1.517316,-1.049303,-313255.594708,247312.308515,173484.071393,-0.983856,-0.769209,-0.532350
60390.038168,764254497.686547,-283513.297204,246165.629128,143427.222493,-0.511976,-1.418538,-1.040205,-313794.761173,246890.220459,173191.671956,-0.981986,-0.769755,-0.533760
60390.044552,764255049.318803,-283785.109174,245407.309881,142857.181897,-0.475248,-1.332889,-1.025913,-314335.936650,246465.448013,172896.842976,-0.980101,-0.770300,-0.535172
60390.051417,764255642.427578,-284057.774623,244640.959305,142254.063616,-0.445634,-1.253220,-1.007466,-314916.641536,246008.403495,172578.979871,-0.978071,-0.770882,-0.536681
60390.059007,764256298.217947,-284341.651554,243844.664964,141600.588911,-0.421371,-1.177164,-0.985275,-315557.313861,245502.657614,172226.484783,-0.975822,-0.771519,-0.538341
60390.067169,764257003.388431,-284631.722045,243040.051383,140914.464264,-0.402351,-1.106600,-0.960657,-316244.579966,244958.365980,171846.236974,-0.973397,-0.772197,-0.540114
60390.075939,764257761.109841,-284930.730986,242226.992848,140196.586844,-0.387725,-1.041036,-0.934230,-316981.154853,244372.982174,171436.263595,-0.970786,-0.772918,-0.542006
60390.086070,764258636.438001,-285264.699013,241345.059442,139391.967113,-0.376142,-0.975704,-0.904364,-317829.587762,243696.064017,170960.880325,-0.967761,-0.773742,-0.544174
60390.096917,764259573.649959,-285613.201959,240459.547420,138558.935015,-0.368203,-0.915443,-0.873530,-318735.063929,242970.495322,170449.793533,-0.964514,-0.774612,-0.546476
60390.108418,764260567.325408,-285976.409815,239578.029976,137706.585185,-0.363350,-0.860113,-0.842266,-319691.762524,242200.329153,169905.570952,-0.961060,-0.775522,-0.548893
60390.122678,764261799.358376,-286422.222867,238555.698897,136691.752863,-0.360906,-0.801019,-0.805503,-320873.176182,241244.174396,169227.486784,-0.956765,-0.776632,-0.551857
60390.137972,764263120.771367,-286899.134726,237534.025661,135652.150133,-0.361354,-0.746680,-0.768335,-322134.405375,240217.147484,168496.176960,-0.952142,-0.777801,-0.554996
60390.153773,764264485.997749,-287394.147998,236548.557563,134628.170306,-0.364151,-0.698119,-0.732091,-323431.024849,239154.461579,167736.293284,-0.947349,-0.778985,-0.558195
60390.171341,764266003.900599,-287950.536002,235525.351601,133546.116158,-0.369246,-0.651154,-0.693983,-324864.951811,237971.055331,166886.342210,-0.942001,-0.780275,-0.561698
60390.191015,764267703.734057,-288584.347872,234458.286418,132401.110360,-0.376762,-0.605403,-0.653574,-326461.089776,236643.515567,165928.260938,-0.935989,-0.781684,-0.565555
60390.213614,764269656.259222,-289329.867028,233321.832950,131168.366048,-0.387160,-0.559767,-0.609515,-328281.868172,235115.711908,164819.743715,-0.929056,-0.783260,-0.569900
60390.240327,764271964.289683,-290239.465445,232085.010902,129819.291220,-0.401354,-0.513145,-0.559889,-330416.668495,233305.830185,163498.583569,-0.920827,-0.785064,-0.574917
60390.269278,764274465.643270,-291264.690797,230857.380917,128483.825418,-0.418707,-0.469463,-0.508192,-332708.788533,231339.733853,162053.864111,-0.911871,-0.786950,-0.580209
60390.302611,764277345.554332,-292502.123010,229569.622548,127104.013450,-0.441077,-0.425892,-0.450222,-335319.994634,229070.364463,160374.362050,-0.901516,-0.789034,-0.586115
60390.338208,764280421.138678,-293899.200896,228323.314397,125813.677420,-0.467968,-0.385492,-0.388840,-338075.622121,226640.325365,158562.293157,-0.890415,-0.791162,-0.592205
