# epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60391.159156,764351351.094083,-342064.647316,187147.296455,111141.859681,-0.531981,-0.719551,-0.376309
60391.181631,764353292.929877,-343093.809399,185747.899527,110409.854207,-0.528006,-0.721759,-0.377621
60391.196053,764354538.962201,-343750.129171,184847.686050,109938.804680,-0.525449,-0.723167,-0.378458
60391.210816,764355814.542892,-344418.709806,183924.312159,109455.506826,-0.522827,-0.724602,-0.379311
60391.222980,764356865.474104,-344967.027984,183162.187281,109056.509307,-0.520663,-0.725778,-0.380011
60391.233237,764357751.674031,-345427.629862,182518.565157,108719.483150,-0.518836,-0.726766,-0.380599
60391.239424,764358286.201880,-345704.667111,182129.929880,108515.947893,-0.517732,-0.727360,-0.380953
60391.245830,764358839.750130,-345990.940529,181727.131219,108304.970967,-0.516589,-0.727974,-0.381318
60391.251438,764359324.286082,-346241.003842,181374.271885,108120.131076,-0.515587,-0.728510,-0.381638
60391.256265,764359741.293039,-346455.827565,181070.382144,107960.928159,-0.514725,-0.728970,-0.381912
60391.258344,764359920.891144,-346548.237815,180939.442631,107892.326800,-0.514353,-0.729169,-0.382031
60391.261015,764360151.689414,-346666.894541,180771.122409,107804.137302,-0.513876,-0.729423,-0.382182
60391.263402,764360357.969985,-346772.853043,180620.633169,107725.286559,-0.513449,-0.729650,-0.382318
60391.266447,764360621.046980,-346907.857867,180428.640892,107624.684862,-0.512904,-0.729940,-0.382490
60391.270215,764360946.614176,-347074.732672,180190.938212,107500.123827,-0.512229,-0.730298,-0.382704
60391.273984,764361272.223941,-347241.409592,179953.088020,107375.477065,-0.511554,-0.730655,-0.382917
60391.278392,764361653.057604,-347436.076255,179674.750561,107229.602028,-0.510764,-0.731072,-0.383166
60391.283302,764362077.320706,-347652.587990,179364.485099,107066.980147,-0.509884,-0.731536,-0.383443
60391.289008,764362570.278017,-347903.686780,179003.736162,106877.880020,-0.508860,-0.732075,-0.383764
60391.295634,764363142.778500,-348194.669163,178584.444419,106658.068290,-0.507671,-0.732698,-0.384136
60391.303204,764363796.805706,-348526.255021,178105.007146,106406.693763,-0.506311,-0.733409,-0.384561
60391.312158,764364570.444951,-348917.334069,177537.288536,106108.988587,-0.504700,-0.734248,-0.385062
60391.323947,764365588.990761,-349430.313656,176788.863483,105716.450836,-0.502578,-0.735347,-0.385719
60391.335855,764366617.903421,-349946.317581,176031.686348,105319.239571,-0.500430,-0.736453,-0.386380
60391.348909,764367745.732447,-350509.388317,175200.412508,104883.061667,-0.498073,-0.737659,-0.387102
60391.363685,764369022.409368,-351143.561012,174257.791541,104388.337980,-0.495400,-0.739018,-0.387915
60391.380575,764370481.693997,-351864.258823,173178.225738,103821.583556,-0.492340,-0.740562,-0.388840
60391.400231,764372179.964476,-352697.355724,171919.033315,103160.317897,-0.488771,-0.742347,-0.389910
60391.423198,764374164.296900,-353663.093997,170443.914886,102385.372823,-0.484591,-0.744415,-0.391152
60391.450324,764376507.983074,-354793.023626,168696.398228,101466.929349,-0.479640,-0.746835,-0.392606
60391.482576,764379294.596077,-356121.369939,166611.286699,100370.500250,-0.473734,-0.749679,-0.394317
60391.521338,764382643.585172,-357695.976577,164094.960867,99046.526997,-0.466609,-0.753050,-0.396349
60391.567969,764386672.514290,-359558.578293,161052.922499,97444.802433,-0.457998,-0.757035,-0.398756
60391.623889,764391504.051635,-361746.358843,157383.927529,95511.324695,-0.447617,-0.761716,-0.401591
60391.684848,764396770.846307,-364073.919693,153358.964269,93388.232508,-0.436234,-0.766693,-0.404615
60391.721173,764399909.353068,-365432.353019,150948.124941,92115.561453,-0.429418,-0.769597,-0.406385
60391.746111,764402064.008260,-366352.546722,149287.786871,91238.647087,-0.424725,-0.771563,-0.407585
60391.774171,764404488.333217,-367375.803831,147414.610479,90248.904640,-0.419431,-0.773750,-0.408922
60391.798992,764406632.887128,-368270.264689,145753.208891,89370.692321,-0.414737,-0.775661,-0.410092
60391.820415,764408483.891917,-369034.187425,144315.943728,88610.681878,-0.410676,-0.777293,-0.411093
60391.834253,764409679.490660,-369523.621153,143385.987579,88118.795396,-0.408049,-0.778338,-0.411735
60391.848383,764410900.313063,-370020.137473,142435.126541,87615.741947,-0.405363,-0.779399,-0.412387
60391.860161,764411917.874052,-370431.479137,141641.593239,87195.838277,-0.403122,-0.780277,-0.412927
60391.870315,764412795.249849,-370784.320072,140956.665909,86833.342592,-0.401187,-0.781031,-0.413391
60391.876307,764413312.897365,-370991.698201,140552.252528,86619.281317,-0.400045,-0.781474,-0.413663
60391.882483,764413846.533935,-371204.862751,140135.108046,86398.460551,-0.398867,-0.781929,-0.413944
60391.888037,764414326.396154,-371396.009844,139759.791921,86199.764182,-0.397807,-0.782337,-0.414195
60391.891697,764414642.608386,-371521.690968,139512.364925,86068.764383,-0.397109,-0.782605,-0.414361
60391.895482,764414969.612307,-371651.428921,139256.404571,85933.238845,-0.396386,-0.782882,-0.414532
60391.898777,764415254.326959,-371764.196206,139033.472182,85815.194478,-0.395756,-0.783123,-0.414680
60391.901717,764415508.309825,-371864.640239,138834.545060,85709.856031,-0.395195,-0.783338,-0.414812
60391.905085,764415799.327624,-371979.555273,138606.544143,85589.116201,-0.394551,-0.783583,-0.414964
60391.908885,764416127.662531,-372108.980851,138349.221105,85452.841093,-0.393824,-0.783859,-0.415134
60391.912908,764416475.279496,-372245.747146,138076.687529,85308.502007,-0.393055,-0.784151,-0.415315
60391.917227,764416848.381197,-372392.242461,137784.060966,85153.511374,-0.392229,-0.784464,-0.415508
60391.922442,764417298.980895,-372568.755676,137430.496748,84966.231236,-0.391230,-0.784841,-0.415741
60391.928747,764417843.733717,-372781.550678,137002.828648,84739.678898,-0.390023,-0.785295,-0.416021
60391.935931,764418464.423946,-373023.206934,136515.243413,84481.359512,-0.388646,-0.785811,-0.416340
60391.943735,764419138.711699,-373284.761974,135985.192301,84200.509876,-0.387150,-0.786369,-0.416686
60391.953566,764419988.095240,-373612.799759,135316.965515,83846.399759,-0.385264,-0.787070,-0.417119
60391.964841,764420962.265659,-373987.057528,134549.836215,83439.813488,-0.383098,-0.787868,-0.417614
60391.975902,764421917.892231,-374352.140439,133796.555680,83040.499552,-0.380972,-0.788647,-0.418097
60391.987622,764422930.518379,-374736.780788,132997.534617,82616.865528,-0.378717,-0.789468,-0.418606
60392.000132,764424011.374365,-375144.816841,132143.762020,82164.119887,-0.376307,-0.790339,-0.419147
60392.013430,764425160.343484,-375575.709020,131235.158124,81682.204169,-0.373743,-0.791258,-0.419719
60392.027608,764426385.311548,-376031.855847,130265.295039,81167.690900,-0.371006,-0.792232,-0.420324
60392.042851,764427702.327799,-376518.536747,129221.228515,80613.690526,-0.368060,-0.793270,-0.420971
60392.060254,764429205.916297,-377069.415454,128027.592261,79980.171293,-0.364692,-0.794445,-0.421704
60392.080597,764430963.556130,-377706.947699,126630.046933,79238.219380,-0.360749,-0.795805,-0.422554
60392.105624,764433125.922142,-378481.765780,124907.435144,78323.383033,-0.355889,-0.797457,-0.423588
60392.135838,764435736.376307,-379403.126686,122823.138381,77216.013277,-0.350010,-0.799422,-0.424821
60392.173065,764438952.822307,-380517.238740,120248.008368,75847.190297,-0.342747,-0.801797,-0.426315
60392.217676,764442807.206355,-381821.500475,117152.195000,74200.613085,-0.334016,-0.804577,-0.428070
60392.270846,764447401.102854,-383331.967083,113448.621468,72229.390803,-0.323574,-0.807795,-0.430112
60392.327839,764452325.261084,-384897.649171,109462.651909,70106.186376,-0.312337,-0.811130,-0.432240
60392.362542,764455323.659987,-385823.874523,107027.593407,68808.258446,-0.305473,-0.813102,-0.433504
60392.385332,764457292.646255,-386420.902581,105425.352179,67953.889028,-0.300957,-0.814373,-0.434321
60392.413597,764459734.789215,-387149.034670,103434.638110,66891.990895,-0.295347,-0.815923,-0.435321
60392.437090,764461764.540611,-387743.775882,101777.229196,66007.565181,-0.290676,-0.817189,-0.436140
60392.457553,764463532.593712,-388254.104938,100331.433744,65235.823400,-0.286601,-0.818275,-0.436844
60392.474327,764464981.881476,-388667.050128,99144.880230,64602.296264,-0.283258,-0.819153,-0.437415
60392.487847,764466149.992147,-388996.351019,98187.608608,64091.080113,-0.280560,-0.819854,-0.437871
60392.498976,764467111.561695,-389265.060676,97398.986823,63669.856755,-0.278338,-0.820426,-0.438244
60392.506276,764467742.227691,-389440.139001,96881.454772,63393.394153,-0.276879,-0.820798,-0.438488
60392.512272,764468260.299685,-389583.272043,96456.143395,63166.174388,-0.275681,-0.821102,-0.438687
60392.518384,764468788.388721,-389728.533465,96022.446552,62934.455339,-0.274459,-0.821411,-0.438889
60392.523926,764469267.174807,-389859.675230,95629.099375,62724.277711,-0.273350,-0.821690,-0.439072
60392.527406,764469567.884786,-389941.769760,95381.982625,62592.227322,-0.272654,-0.821865,-0.439186
60392.529921,764469785.137360,-390000.949926,95203.416673,62496.804088,-0.272151,-0.821991,-0.439268
60392.532803,764470034.185032,-390068.656669,94998.683838,62387.393553,-0.271574,-0.822135,-0.439363
60392.535758,764470289.454254,-390137.905704,94788.799322,62275.225411,-0.270983,-0.822282,-0.439459
60392.538861,764470557.564698,-390210.475722,94568.316212,62157.388164,-0.270361,-0.822436,-0.439561
60392.542627,764470882.971176,-390298.330390,94300.659664,62014.332291,-0.269607,-0.822623,-0.439683
60392.546827,764471245.851098,-390396.012832,94002.108496,61854.755246,-0.268766,-0.822831,-0.439820
60392.551921,764471685.962698,-390514.075321,93639.915759,61661.149090,-0.267745,-0.823082,-0.439985
60392.556971,764472122.277794,-390630.675949,93280.738520,61469.141438,-0.266733,-0.823330,-0.440148
60392.562905,764472635.034145,-390767.140217,92858.496401,61243.403751,-0.265544,-0.823620,-0.440339
60392.569986,764473246.782944,-390929.151967,92354.542311,60973.957396,-0.264124,-0.823965,-0.440566
60392.577153,764473866.034771,-391092.265883,91844.193244,60701.065196,-0.262686,-0.824311,-0.440795
60392.585302,764474570.067299,-391276.629522,91263.713080,60390.640133,-0.261050,-0.824703,-0.441054
60392.596273,764475518.006398,-391523.045007,90481.695875,59972.383768,-0.258847,-0.825227,-0.441400
60392.605767,764476338.264710,-391734.583937,89804.611748,59610.199433,-0.256939,-0.825677,-0.441698
60392.617319,764477336.351782,-391989.872560,88980.243129,59169.166624,-0.254616,-0.826219,-0.442058
60392.630765,764478498.058720,-392284.091049,88020.054342,58655.383178,-0.251911,-0.826845,-0.442473
60392.646464,764479854.510226,-392623.652445,86897.989013,58054.862753,-0.248750,-0.827566,-0.442954
60392.664843,764481442.439063,-393015.708728,85583.209380,57351.040238,-0.245045,-0.828399,-0.443511
60392.686386,764483303.708334,-393467.759921,84040.438500,56524.946869,-0.240699,-0.829360,-0.444154
60392.711561,764485478.858972,-393985.786016,82235.254979,55558.036489,-0.235613,-0.830460,-0.444895
60392.740907,764488014.325883,-394575.650418,80128.055954,54428.942741,-0.229676,-0.831713,-0.445742
60392.774803,764490943.014371,-395238.245370,77690.157940,53122.096613,-0.222808,-0.833119,-0.446699
60392.813276,764494267.077436,-395965.896452,74918.234236,51635.474868,-0.214998,-0.834664,-0.447757
60392.855199,764497889.229925,-396729.215826,71892.002065,50011.594311,-0.206472,-0.836283,-0.448876
60392.892053,764501073.387483,-397374.703627,69226.951958,48580.776956,-0.198963,-0.837652,-0.449830
60392.938231,764505063.175125,-398149.726813,65881.594582,46783.729292,-0.189537,-0.839295,-0.450987
60392.986263,764509213.163835,-398915.926129,62395.132677,44909.722481,-0.179713,-0.840918,-0.452144
60393.012758,764511502.326842,-399321.108147,60469.147502,43873.981241,-0.174286,-0.841776,-0.452762
60393.035471,764513464.721505,-399658.557214,58816.547069,42984.972899,-0.169629,-0.842490,-0.453281
60393.054538,764515112.082732,-399934.775025,57428.178220,42237.903127,-0.165716,-0.843075,-0.453708
60393.076201,764516983.726382,-400240.774402,55849.634485,41388.276577,-0.161268,-0.843722,-0.454184
60393.095618,764518661.417858,-400507.984660,54433.653465,40625.943374,-0.157277,-0.844287,-0.454603
60393.111669,764520048.211553,-400723.806837,53262.484154,39995.266305,-0.153976,-0.844743,-0.454943
60393.124724,764521176.189712,-400895.973703,52309.426448,39481.945966,-0.151290,-0.845107,-0.455216
60393.135635,764522118.828461,-401037.527066,51512.654450,39052.735090,-0.149044,-0.845406,-0.455442
60393.142567,764522717.783548,-401126.370378,51006.237822,38779.903447,-0.147617,-0.845594,-0.455584
60393.149864,764523348.231228,-401218.961326,50473.073372,38492.635008,-0.146114,-0.845789,-0.455732
60393.155779,764523859.322460,-401293.327493,50040.757605,38259.683846,-0.144895,-0.845947,-0.455851
60393.161081,764524317.392417,-401359.449526,49653.222897,38050.847602,-0.143803,-0.846086,-0.455958
60393.163237,764524503.647119,-401386.192142,49495.630110,37965.919286,-0.143359,-0.846143,-0.456001
60393.166761,764524808.162432,-401429.736496,49237.952712,37827.049288,-0.142632,-0.846235,-0.456071
60393.169652,764525057.945185,-401465.289202,49026.568528,37713.123361,-0.142037,-0.846310,-0.456129
60393.173094,764525355.363274,-401507.427933,48774.847491,37577.452263,-0.141327,-0.846399,-0.456197
60393.176921,764525685.973130,-401554.021639,48495.003494,37426.616549,-0.140538,-0.846497,-0.456273
60393.180850,764526025.444668,-401601.592847,48207.624805,37271.711894,-0.139728,-0.846597,-0.456350
60393.185458,764526423.611421,-401657.038737,47870.514545,37089.990616,-0.138778,-0.846714,-0.456440
60393.190430,764526853.190427,-401716.434512,47506.756846,36893.892772,-0.137752,-0.846840,-0.456537
60393.195732,764527311.203912,-401779.276542,47118.862397,36684.769229,-0.136659,-0.846972,-0.456639
60393.202492,764527895.325585,-401858.694594,46624.078441,36417.998173,-0.135264,-0.847140,-0.456770
60393.208891,764528448.219385,-401933.116207,46155.656533,36165.419262,-0.133944,-0.847297,-0.456892
60393.214706,764528950.617850,-402000.107757,45729.940286,35935.849735,-0.132743,-0.847438,-0.457002
60393.222988,764529666.192580,-402094.483843,45123.463501,35608.774570,-0.131034,-0.847637,-0.457158
60393.234948,764530699.545090,-402228.611693,44247.408765,35136.253552,-0.128564,-0.847920,-0.457381
60393.247123,764531751.393936,-402362.518706,43355.376028,34655.039833,-0.126049,-0.848202,-0.457605
60393.261180,764532965.913735,-402513.843414,42325.023065,34099.114666,-0.123144,-0.848521,-0.457859
60393.277581,764534383.020168,-402685.948513,41122.320129,33450.071634,-0.119753,-0.848884,-0.458151
60393.296893,764536051.536260,-402882.425138,39705.596979,32685.356921,-0.115758,-0.849297,-0.458488
60393.319692,764538021.413460,-403105.806042,38032.119497,31781.808729,-0.111039,-0.849767,-0.458875
60393.346742,764540358.476455,-403358.764227,36045.533271,30708.864451,-0.105436,-0.850299,-0.459321
60393.378774,764543126.091750,-403641.383691,33691.402974,29436.932408,-0.098796,-0.850892,-0.459829
60393.416613,764546395.348352,-403951.544167,30908.540332,27932.688029,-0.090946,-0.851542,-0.460402
60393.460913,764550222.884576,-404282.042079,27647.884259,26169.257632,-0.081747,-0.852234,-0.461035
60393.511858,764554624.524579,-404618.561094,23895.078051,24138.435898,-0.071157,-0.852935,-0.461713
60393.566242,764559323.305485,-404926.332009,19885.777211,21967.365991,-0.059841,-0.853574,-0.462376
60393.602266,764562435.746738,-405100.911021,17228.504863,20527.608779,-0.052340,-0.853934,-0.462782
60393.635625,764565318.016932,-405241.751581,14766.808890,19193.234351,-0.045389,-0.854223,-0.463133
60393.657326,764567192.924733,-405322.611339,13165.061610,18324.697983,-0.040866,-0.854388,-0.463349
60393.679441,764569103.688512,-405396.290718,11532.381883,17439.144346,-0.036255,-0.854538,-0.463560
60393.700263,764570902.689393,-405457.606657,9994.954538,16605.029474,-0.031912,-0.854661,-0.463748
60393.720850,764572681.452162,-405510.550925,8474.619163,15779.972717,-0.027617,-0.854766,-0.463925
60393.738522,764574208.296297,-405549.903204,7169.463261,15071.519257,-0.023930,-0.854844,-0.464071
60393.753017,764575460.681748,-405577.978487,6098.834064,14490.252006,-0.020905,-0.854899,-0.464185
60393.764948,764576491.526396,-405598.244726,5217.545982,14011.702565,-0.018415,-0.854937,-0.464276
60393.775434,764577397.463640,-405613.935909,4443.012662,13591.062915,-0.016226,-0.854967,-0.464353
60393.781580,764577928.502627,-405622.211886,3988.987745,13344.461719,-0.014943,-0.854982,-0.464397
60393.787874,764578472.330095,-405629.980985,3524.020957,13091.897764,-0.013629,-0.854996,-0.464441
60393.792427,764578865.660175,-405635.154744,3187.723257,12909.212746,-0.012679,-0.855006,-0.464473
60393.797172,764579275.658952,-405640.149820,2837.170070,12718.772681,-0.011688,-0.855015,-0.464506
60393.799948,764579515.476726,-405642.883267,2632.121774,12607.373734,-0.011108,-0.855019,-0.464524
60393.802424,764579729.406232,-405645.204351,2449.207450,12507.996486,-0.010591,-0.855023,-0.464541
60393.805589,764580002.879356,-405648.010413,2215.380848,12380.954124,-0.009930,-0.855028,-0.464562
60393.809904,764580375.703851,-405651.544748,1896.604248,12207.748705,-0.009029,-0.855034,-0.464590
60393.813765,764580709.281480,-405654.422288,1611.383190,12052.767535,-0.008223,-0.855039,-0.464616
60393.817891,764581065.792289,-405657.200361,1306.551815,11887.122357,-0.007362,-0.855043,-0.464642
60393.822505,764581464.468843,-405659.943174,965.665312,11701.874676,-0.006398,-0.855047,-0.464671
60393.826958,764581849.192742,-405662.225769,636.707570,11523.099252,-0.005468,-0.855050,-0.464699
60393.832304,764582311.077251,-405664.493590,241.772352,11308.454492,-0.004352,-0.855053,-0.464732
60393.839410,764582925.014728,-405666.709742,-283.177544,11023.125277,-0.002868,-0.855055,-0.464774
60393.845438,764583445.845720,-405667.875487,-728.516866,10781.047320,-0.001609,-0.855055,-0.464809
60393.853350,764584129.449718,-405668.410397,-1313.035558,10463.286300,0.000044,-0.855053,-0.464854
60393.864033,764585052.475982,-405667.340165,-2102.269609,10034.186082,0.002275,-0.855047,-0.464913
60393.876914,764586165.384787,-405663.310878,-3053.851786,9516.741948,0.004966,-0.855033,-0.464981
60393.891029,764587384.902629,-405655.457070,-4096.567156,8949.646000,0.007914,-0.855011,-0.465051
60393.907427,764588801.719632,-405641.816981,-5307.936960,8290.698677,0.011340,-0.854975,-0.465128
60393.926773,764590473.214943,-405619.483939,-6736.979501,7513.169752,0.015382,-0.854920,-0.465210
60393.949731,764592456.718992,-405584.216519,-8432.635418,6590.333926,0.020179,-0.854835,-0.465298
60393.974180,764594569.189558,-405536.193632,-10238.334143,5607.316436,0.025287,-0.854722,-0.465380
60394.005188,764597248.219659,-405459.769133,-12527.933142,4360.430932,0.031766,-0.854546,-0.465465
60394.043503,764600558.646886,-405341.357084,-15356.415768,2819.405878,0.039772,-0.854277,-0.465542
60394.070766,764602914.143604,-405240.964746,-17368.401221,1722.776446,0.045469,-0.854051,-0.465579
