epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
59103.50000,653097669.1826417446136475,432760.3020402685506269,-43.9788907461897765,-20.2625880571663224
59103.75000,653119269.1826417446136475,429094.0264304379816167,-46.0370544328043181,-16.3124051086396662
59104.00000,653140869.1826417446136475,425487.1097208897699602,-47.5881913649068409,-12.0189634868781319
59104.25000,653162469.1826417446136475,421979.9094768885406666,-48.5754337310097810,-7.4512494323059109
59104.50000,653184069.1826417446136475,418612.9338491990347393,-48.9340011962414962,-2.6933154046887267
59104.75000,653205669.1826417446136475,415424.7110899343970232,-48.5873557089956805,2.1601679111323691
59105.00000,653227269.1826417446136475,412448.5385357445338741,-47.4474603673884161,7.0106574250288167
59105.25000,653248869.1826417446136475,409707.9447101989644580,-45.4266984402427738,11.7638772858902971
59105.50000,653270469.1826417446136475,407211.3005787775036879,-42.4762026487957911,16.3374412564320046
59105.75000,653292069.1826417446136475,404947.5774441569810733,-38.6732493572911480,20.6640458078926308
59106.00000,653313669.1826417446136475,402887.8270374032435939,-34.3756952747691855,24.6807135048760777
59106.25000,653335269.1826417446136475,400998.1596488781506196,-30.4146427267900137,28.2818129765848845
59106.50000,653356869.1826417446136475,399263.7980271370615810,-28.1667359402611197,31.1867731635127114
59106.75000,653378469.1826417446136475,397709.4114045058959164,-29.1802108114207890,32.6834301507222662
59107.00000,653400069.1826417446136475,396396.5108649415196851,-33.9167455964583198,31.5206125058078221
59107.25000,653421669.1826417446136475,395398.7342059366637841,-40.3605873467196830,26.9402802380820887
59107.50000,653443269.1826417446136475,394775.5317814667942002,-45.6243964034923835,20.3025381056227694
59107.75000,653464869.1826417446136475,394559.1932085729204118,-48.7514244480539745,13.9818381206636957
59108.00000,653486469.1826417446136475,394754.7011698649730533,-50.2406700045634693,9.2014877941205064
59108.25000,653508069.1826417446136475,395345.6178384907543659,-50.7054471198809082,6.0362799426508218
59108.50000,653529669.1826417446136475,396300.9103445492219180,-50.5285717786565485,4.1753964929957039
59108.75000,653551269.1826417446136475,397580.6092544376151636,-49.9241397571336520,3.2958194182924880
59109.00000,653572869.1826417446136475,399139.9194617765606381,-49.0154778055246112,3.1480813804315519
59109.25000,653594469.1826417446136475,400932.0290769828716293,-47.8774361542852631,3.5524504198553504
59109.50000,653616069.1826417446136475,402909.9730651468271390,-46.5568767708775297,4.3799692448874845
59109.75000,653637669.1826417446136475,405027.8521260668057948,-45.0830085777245486,5.5362389621580892
59110.00000,653659269.1826417446136475,407241.6235690623871051,-43.4731004920029633,6.9500634797167118
59110.25000,653680869.1826417446136475,409509.6112733952468261,-41.7359526795876192,8.5658780223722015
59110.50000,653702469.1826417446136475,411792.8322614310891367,-39.8741667809326543,10.3387128864935711
59110.75000,653724069.1826417446136475,414055.2041450015385635,-37.8857021724338168,12.2307877706564945
59111.00000,653745669.1826417446136475,416263.6757444909890182,-35.7649699562128802,14.2091470696038940
59111.25000,653767269.1826417446136475,418388.3086170937167481,-33.5036114765295920,16.2439595070231348
